Country Name,2001_income,2010_income,2019_income,2001_health,2010_health,2019_health
Afghanistan,,493.2649,459.52277,,8.569672,13.242202
Albania,1184.2448,3495.8442,4337.131,7.139524,4.745796,
Algeria,1320.6609,3425.1921,3142.1965,3.837877,5.117172,6.243371
Angola,261.99158,1755.1665,1690.7014,4.483516,2.6951,2.5333595
Argentina,5997.87,8619.868,8273.355,8.371798,9.44547,9.510071
Armenia,605.4062,2919.0256,4025.707,4.645627,9.235391,11.335264
Australia,15465.412,40364.973,42360.8,7.696229,8.430842,9.910786
Austria,20125.469,38980.734,40727.176,9.269429,10.221019,10.4340315
Azerbaijan,462.99408,3870.322,3612.674,2.7559068,2.4899666,4.03829
"Bahamas, The",25044.951,25765.654,30034.938,3.924409,5.256739,5.749775
Bahrain,10618.362,13718.718,17644.516,3.681042,3.8429148,4.011475
Bangladesh,393.77936,774.48474,1916.369,2.0637505,2.6810105,2.483576
Barbados,9794.562,13911.233,15516.738,5.525292,6.773987,6.299904
Belarus,1069.0221,4993.1323,5563.949,5.708271,5.65694,5.8613396
Belgium,19523.166,36300.586,38315.75,8.149888,10.233246,10.65605
Belize,2633.18,2941.0923,3832.084,4.632415,5.681495,5.9668922
Benin,424.35724,879.69617,1073.9768,3.2491002,2.9971044,2.3884292
Bhutan,683.7392,1842.9594,2688.6802,5.0041995,3.5587947,3.607616
Bolivia,826.2453,1592.8943,3012.1387,4.825222,5.2023053,6.92338
Bosnia and Herzegovina,1525.771,4051.1318,5127.4175,7.277025,9.018883,9.049099
Botswana,2834.3616,4631.167,5560.1445,6.1567163,6.194025,6.0483656
Brazil,2545.8132,8674.471,6615.9136,8.549606,7.94516,9.591271
Brunei Darussalam,12181.129,26282.385,24180.283,2.5499504,2.2782612,2.1603136
Bulgaria,1546.3325,5619.9634,8187.539,6.8595877,7.1380057,7.126114
Burkina Faso,249.22256,556.0451,693.7278,2.8883538,5.2395854,5.4649425
Burundi,85.49232,144.70107,165.70952,6.404844,11.276376,7.9909143
Cabo Verde,1103.3959,2726.439,3023.0955,4.752444,4.4755573,4.9362173
Cambodia,287.01788,681.8885,1379.8787,7.0119233,6.911699,6.9890833
Cameroon,542.8093,1064.7028,1239.8341,4.097513,3.7589147,3.5953953
Canada,18877.896,38670.867,37808.88,8.624824,10.695854,10.844478
Central African Republic,227.18663,444.1576,404.4656,3.955942,3.8270402,7.753009
Chad,171.08147,651.6291,510.89694,5.293292,4.0602317,4.3536315
Chile,3740.0867,9469.989,11471.222,7.151041,6.7748933,9.332724
