Country Name,Year,life,health
Afghanistan,2001,56.308,
Albania,2001,74.288,89.580734
Algeria,2001,71.116,66.80212
American Samoa,2001,,
Andorra,2001,,1347.485
Angola,2001,47.059,28.918121
Antigua and Barbuda,2001,74.171,563.7371
Argentina,2001,73.755,675.05786
Armenia,2001,71.8,32.25934
Aruba,2001,73.853,
Australia,2001,79.63415,1564.1665
Austria,2001,78.57561,2282.5159
Azerbaijan,2001,67.054,19.190283
"Bahamas, The",2001,71.954,1078.6945
Bahrain,2001,74.635,484.90735
Bangladesh,2001,65.956,8.36238
Barbados,2001,77.362,619.3396
Belarus,2001,68.50732,74.33643
Belgium,2001,77.97317,1879.9348
Belize,2001,69.04,157.4632
Benin,2001,55.668,16.8325
Bermuda,2001,77.88537,
Bhutan,2001,61.808,35.94556
Bolivia,2001,63.054,45.78475
Bosnia and Herzegovina,2001,74.637,112.06852
Botswana,2001,50.281,201.8108
Brazil,2001,70.462,270.18982
British Virgin Islands,2001,,
Brunei Darussalam,2001,73.076,464.79044
Bulgaria,2001,71.768295,119.82998
Burkina Faso,2001,50.893,7.714724
Burundi,2001,49.93,8.604748
Cabo Verde,2001,69.099,67.14394
Cambodia,2001,59.335,22.5629
Cameroon,2001,51.222,26.702278
Canada,2001,79.33903,2063.9275
Cayman Islands,2001,,
Central African Republic,2001,44.061,9.566786
Chad,2001,47.789,11.809539
Channel Islands,2001,79.3,
Chile,2001,76.634,327.132
China,2001,71.732,43.663677
Colombia,2001,73.241,136.61053
Comoros,2001,59.529,44.589848
"Congo, Dem. Rep.",2001,50.667,6.0385017
"Congo, Rep.",2001,52.517,20.648438
Costa Rica,2001,77.601,256.3936
Cote d'Ivoire,2001,49.495,55.291386
Croatia,2001,74.512924,388.3249
Cuba,2001,76.905,198.13365
Curacao,2001,,
Cyprus,2001,78.139,782.1616
Czech Republic,2001,75.17317,388.54404
Denmark,2001,76.79269,2602.6428
Djibouti,2001,57.1,31.042257
Dominica,2001,,226.96007
Dominican Republic,2001,69.69,145.35367
Ecuador,2001,73.078,71.11089
"Egypt, Arab Rep.",2001,68.796,73.077835
El Salvador,2001,69.162,182.88065
Equatorial Guinea,2001,53.581,58.393887
Eritrea,2001,55.864,14.513529
Estonia,2001,70.25854,214.70415
Eswatini,2001,45.799,78.200195
Ethiopia,2001,52.595,5.616925
Faroe Islands,2001,78.641464,
Fiji,2001,65.863,64.19379
Finland,2001,77.96585,1806.0502
France,2001,79.15854,2192.7158
French Polynesia,2001,72.658,
Gabon,2001,57.968,125.87947
"Gambia, The",2001,56.359,42.067417
Georgia,2001,70.065,55.222275
Germany,2001,78.32927,2346.615
Ghana,2001,57.158,19.633295
Gibraltar,2001,,
Greece,2001,78.3878,1004.8154
Greenland,2001,66.70927,
Grenada,2001,72.805,283.47583
Guam,2001,75.373,
Guatemala,2001,68.304,100.39343
Guinea,2001,51.255,22.106821
Guinea-Bissau,2001,50.744,22.556522
Guyana,2001,65.532,61.653477
Haiti,2001,57.382,26.906698
Honduras,2001,70.976,67.19782
"Hong Kong SAR, China",2001,81.42439,
Hungary,2001,72.24878,359.69748
Iceland,2001,80.69025,2557.2695
India,2001,62.907,19.797678
Indonesia,2001,66.037,17.240965
"Iran, Islamic Rep.",2001,70.553,94.6177
Iraq,2001,68.983,
Ireland,2001,77.13415,1823.7347
Isle of Man,2001,,
Israel,2001,79.40732,1559.0833
Italy,2001,80.12683,1586.6571
Jamaica,2001,74.139,177.26375
Japan,2001,81.417076,2479.8115
Jordan,2001,71.907,170.0458
Kazakhstan,2001,65.76,51.56955
Kenya,2001,51.101,21.257555
Kiribati,2001,63.446,90.621925
"Korea, Dem. People's Rep.",2001,66.087,
"Korea, Rep.",2001,76.41219,508.36133
Kosovo,2001,67.99756,
Kuwait,2001,73.21,528.6975
Kyrgyz Republic,2001,68.70731,13.161617
Lao PDR,2001,59.372,14.765901
Latvia,2001,70.76098,205.02048
Lebanon,2001,74.999,459.4658
Lesotho,2001,46.197,27.737806
Liberia,2001,52.236,10.754223
Libya,2001,71.038,253.90991
Liechtenstein,2001,79.27561,
Lithuania,2001,71.65854,218.81802
Luxembourg,2001,77.82439,3109.2014
"Macao SAR, China",2001,80.645,
Madagascar,2001,59.129,15.910254
Malawi,2001,45.204,6.190803
Malaysia,2001,72.782,114.03215
Maldives,2001,70.964,230.17087
Mali,2001,48.758,13.906796
Malta,2001,78.8439,685.984
Marshall Islands,2001,,387.95535
Mauritania,2001,60.788,23.078022
Mauritius,2001,71.765854,119.46854
Mexico,2001,74.658,363.67358
"Micronesia, Fed. Sts.",2001,64.71,190.07368
Moldova,2001,67.185,25.39859
Monaco,2001,,1431.1339
Mongolia,2001,63.319,26.487616
Montenegro,2001,73.187515,
Morocco,2001,69.193,55.94983
Mozambique,2001,49.295,8.612842
Myanmar,2001,60.377,4.4845495
Namibia,2001,51.399,185.40504
Nauru,2001,,346.12976
Nepal,2001,62.945,10.521443
Netherlands,2001,78.19025,2175.7327
New Caledonia,2001,74.83171,
New Zealand,2001,78.69268,1049.3761
Nicaragua,2001,69.934,57.04566
Niger,2001,50.584,9.885902
Nigeria,2001,46.51,18.600574
North Macedonia,2001,73.436584,152.15872
Northern Mariana Islands,2001,,
Norway,2001,78.78536,3099.0034
Oman,2001,72.58,261.31638
Pakistan,2001,63.066,13.585202
Palau,2001,,639.4607
Panama,2001,75.233,281.00452
Papua New Guinea,2001,59.487,17.448261
Paraguay,2001,70.786,87.7708
Peru,2001,71.505,89.91749
Philippines,2001,68.835,28.20891
Poland,2001,74.2,282.82104
Portugal,2001,76.81464,1015.5497
Puerto Rico,2001,77.066826,
Qatar,2001,77.612,659.9841
Romania,2001,71.16097,78.817535
Russian Federation,2001,65.383415,118.10949
Rwanda,2001,49.936,7.920927
Samoa,2001,69.103,58.871178
San Marino,2001,,2168.8333
Sao Tome and Principe,2001,62.017,53.569183
Saudi Arabia,2001,72.759,387.4863
Senegal,2001,58.177,23.857248
Serbia,2001,72.234146,112.220634
Seychelles,2001,73.25366,407.45132
Sierra Leone,2001,40.369,25.172243
Singapore,2001,78.25122,696.6172
Sint Maarten (Dutch part),2001,,
Slovak Republic,2001,73.402435,212.22208
Slovenia,2001,75.75854,826.22577
Solomon Islands,2001,67.816,63.79349
Somalia,2001,51.213,
South Africa,2001,55.089,211.69156
South Sudan,2001,49.592,
Spain,2001,79.36829,1045.0507
Sri Lanka,2001,72.233,41.323704
St. Kitts and Nevis,2001,,451.68024
St. Lucia,2001,73.486,288.75674
St. Martin (French part),2001,76.97317,
St. Vincent and the Grenadines,2001,70.882,171.39845
Sudan,2001,58.859,16.5766
Suriname,2001,67.913,93.65899
Sweden,2001,79.79512,2155.8542
Switzerland,2001,80.18049,3763.3845
Syrian Arab Republic,2001,73.371,58.473927
Tajikistan,2001,62.807,7.6724076
Tanzania,2001,51.444,15.532048
Thailand,2001,70.832,57.29466
Timor-Leste,2001,59.945,
Togo,2001,53.554,11.397036
Tonga,2001,69.725,59.96764
Trinidad and Tobago,2001,69.65,284.29602
Tunisia,2001,73.415,114.88659
Turkey,2001,70.56,153.62274
Turkmenistan,2001,63.842,123.79407
Turks and Caicos Islands,2001,,
Tuvalu,2001,,272.08038
Uganda,2001,47.22,16.189337
Ukraine,2001,67.837074,44.78644
United Arab Emirates,2001,74.544,777.1306
United Kingdom,2001,77.99268,2101.8364
United States,2001,76.836586,4894.281
Uruguay,2001,74.939,668.95795
Uzbekistan,2001,67.374,30.44023
Vanuatu,2001,67.583,46.25572
"Venezuela, RB",2001,72.294,391.32364
Vietnam,2001,73.228,23.187826
Virgin Islands (U.S.),2001,77.62195,
West Bank and Gaza,2001,71.239,
"Yemen, Rep.",2001,61.216,27.195436
Zambia,2001,44.615,25.092323
Zimbabwe,2001,44.01,
Afghanistan,2010,61.028,44.990532
Albania,2010,76.562,192.00322
Algeria,2010,74.938,229.28946
American Samoa,2010,,
Andorra,2010,,2685.4797
Angola,2010,55.35,96.697014
Antigua and Barbuda,2010,75.823,701.8178
Argentina,2010,75.278,985.0344
Armenia,2010,73.331,297.22906
Aruba,2010,75.017,
Australia,2010,81.69512,4945.038
Austria,2010,80.58049,4800.7935
Azerbaijan,2010,70.938,145.84526
"Bahamas, The",2010,72.144,1495.2313
Bahrain,2010,76.057,796.3184
Bangladesh,2010,69.881,20.8027
Barbados,2010,78.364,1087.6565
Belarus,2010,70.40488,343.6791
Belgium,2010,80.18293,4544.78
Belize,2010,72.057,242.34943
Benin,2010,59.318,31.065983
Bermuda,2010,79.288536,
Bhutan,2010,68.384,74.09109
Bolivia,2010,68.007,101.72988
Bosnia and Herzegovina,2010,76.031,417.74832
Botswana,2010,60.211,398.5707
Brazil,2010,73.619,896.69714
British Virgin Islands,2010,,
Brunei Darussalam,2010,74.74,803.52686
Bulgaria,2010,73.51219,484.7523
Burkina Faso,2010,57.096,33.9439
Burundi,2010,57.228,26.413322
Cabo Verde,2010,71.062,151.16014
Cambodia,2010,66.56,54.29156
Cameroon,2010,55.101,48.35902
Canada,2010,81.24634,5065.915
Cayman Islands,2010,82.19025,
Central African Republic,2010,47.312,18.69205
Chad,2010,50.89,36.32339
Channel Islands,2010,81.483,
Chile,2010,78.779,867.7308
China,2010,74.409,186.4915
Colombia,2010,75.424,448.08777
Comoros,2010,61.862,65.71719
"Congo, Dem. Rep.",2010,56.909,12.894424
"Congo, Rep.",2010,60.093,56.96957
Costa Rica,2010,78.769,660.5864
Cote d'Ivoire,2010,52.964,74.04659
Croatia,2010,76.47561,1126.3737
Cuba,2010,78.338,612.4651
Curacao,2010,,
Cyprus,2010,79.43,2045.2924
Czech Republic,2010,77.42439,1373.9318
Denmark,2010,79.1,6011.538
Djibouti,2010,60.062,56.201412
Dominica,2010,,359.22134
Dominican Republic,2010,72.046,309.95718
Ecuador,2010,75.089,283.41574
"Egypt, Arab Rep.",2010,70.349,113.2482
El Salvador,2010,71.21,245.70859
Equatorial Guinea,2010,55.622,314.40918
Eritrea,2010,62.193,24.714329
Estonia,2010,75.42927,926.45416
Eswatini,2010,46.601,358.1239
Ethiopia,2010,61.627,16.70585
Faroe Islands,2010,80.687805,
Fiji,2010,66.655,135.1687
Finland,2010,79.870735,4249.602
France,2010,81.663414,4592.3833
French Polynesia,2010,75.611,
Gabon,2010,61.4,219.07191
"Gambia, The",2010,59.637,43.80533
Georgia,2010,71.46,271.01666
Germany,2010,79.98781,4611.276
Ghana,2010,61.03,73.898506
Gibraltar,2010,,
Greece,2010,80.3878,2564.3694
Greenland,2010,70.291954,
Grenada,2010,72.867,393.3341
Guam,2010,77.941,
Guatemala,2010,71.481,173.75179
Guinea,2010,56.861,23.04637
Guinea-Bissau,2010,54.628,38.658882
Guyana,2010,68.059,162.66496
Haiti,2010,60.511,54.917152
Honduras,2010,73.317,166.16116
"Hong Kong SAR, China",2010,82.97805,
Hungary,2010,74.20731,983.11084
Iceland,2010,81.89756,3589.5557
India,2010,66.693,45.129772
Indonesia,2010,69.205,87.14134
"Iran, Islamic Rep.",2010,73.905,445.66364
Iraq,2010,68.567,150.45607
Ireland,2010,80.743904,5133.455
Isle of Man,2010,,
Israel,2010,81.60244,2234.9497
Italy,2010,82.03658,3217.6829
Jamaica,2010,74.038,249.08258
Japan,2010,82.84268,4060.491
Jordan,2010,73.428,305.2936
Kazakhstan,2010,68.45,249.26892
Kenya,2010,60.959,58.21166
Kiribati,2010,65.769,139.49522
"Korea, Dem. People's Rep.",2010,69.571,
"Korea, Rep.",2010,80.11707,1365.9128
Kosovo,2010,69.9,
Kuwait,2010,74.358,1033.3838
Kyrgyz Republic,2010,69.3,61.453785
Lao PDR,2010,64.306,34.994404
Latvia,2010,73.482925,689.0772
Lebanon,2010,78.36,577.3594
Lesotho,2010,45.1,97.6808
