Country Name,life_2001,life_2010,life_2019,health_2001,health_2010,health_2019
Afghanistan,56.308,61.028,64.833,,44.990532,65.80603
Albania,74.288,76.562,78.573,89.580734,192.00322,
Algeria,71.116,74.938,76.88,66.80212,229.28946,248.20587
American Samoa,,,,,,
Andorra,,,,1347.485,2685.4797,2744.1943
Angola,47.059,55.35,61.147,28.918121,96.697014,71.326004
Antigua and Barbuda,74.171,75.823,77.016,563.7371,701.8178,760.26495
Argentina,73.755,75.278,76.667,675.05786,985.0344,945.99194
Armenia,71.8,73.331,75.087,32.25934,297.22906,523.9991
Aruba,73.853,75.017,76.293,,,
Australia,79.63415,81.69512,82.9,1564.1665,4945.038,5427.4624
Austria,78.57561,80.58049,81.89512,2282.5159,4800.7935,5242.183
Azerbaijan,67.054,70.938,73.005,19.190283,145.84526,193.10884
"Bahamas, The",71.954,72.144,73.918,1078.6945,1495.2313,2004.6163
Bahrain,74.635,76.057,77.292,484.90735,796.3184,940.3957
Bangladesh,65.956,69.881,72.591,8.36238,20.8027,45.857162
Barbados,77.362,78.364,79.19,619.3396,1087.6565,1143.322
Belarus,68.50732,70.40488,74.22683,74.33643,343.6791,399.3971
Belgium,77.97317,80.18293,81.995125,1879.9348,4544.78,4960.3936
Belize,69.04,72.057,74.623,157.4632,242.34943,293.4126
Benin,55.668,59.318,61.771,16.8325,31.065983,29.125292
Bermuda,77.88537,79.288536,81.866585,,,
Bhutan,61.808,68.384,71.777,35.94556,74.09109,115.98076
Bolivia,63.054,68.007,71.513,45.78475,101.72988,245.92348
Bosnia and Herzegovina,74.637,76.031,77.401,112.06852,417.74832,553.82294
Botswana,50.281,60.211,69.592,201.8108,398.5707,481.53305
Brazil,70.462,73.619,75.881,270.18982,896.69714,853.38794
British Virgin Islands,,,,,,
Brunei Darussalam,73.076,74.74,75.86,464.79044,803.52686,671.5627
Bulgaria,71.768295,73.51219,75.1122,119.82998,484.7523,697.89636
Burkina Faso,50.893,57.096,61.577,7.714724,33.9439,42.34453
Burundi,49.93,57.228,61.584,8.604748,26.413322,20.567541
Cabo Verde,69.099,71.062,72.981,67.14394,151.16014,177.89027
Cambodia,59.335,66.56,69.823,22.5629,54.29156,113.31044
Cameroon,51.222,55.101,59.292,26.702278,48.35902,53.99585
Canada,79.33903,81.24634,82.04878,2063.9275,5065.915,5048.3726
Cayman Islands,,82.19025,,,,
Central African Republic,44.061,47.312,53.283,9.566786,18.69205,37.19958
Chad,47.789,50.89,54.239,11.809539,36.32339,29.85083
Channel Islands,79.3,81.483,83.086,,,
Chile,76.634,78.779,80.181,327.132,867.7308,1375.803
China,71.732,74.409,76.912,43.663677,186.4915,535.13336
Colombia,73.241,75.424,77.287,136.61053,448.08777,495.3297
Comoros,59.529,61.862,64.321,44.589848,65.71719,72.3238
"Congo, Dem. Rep.",50.667,56.909,60.681,6.0385017,12.894424,20.570732
"Congo, Rep.",52.517,60.093,64.57,20.648438,56.96957,48.558773
Costa Rica,77.601,78.769,80.279,256.3936,660.5864,921.58575
Cote d'Ivoire,49.495,52.964,57.783,55.291386,74.04659,75.08779
Croatia,74.512924,76.47561,78.42439,388.3249,1126.3737,1040.0857
Cuba,76.905,78.338,78.802,198.13365,612.4651,1031.9218
Curacao,,,,,,
Cyprus,78.139,79.43,80.982,782.1616,2045.2924,1996.4583
Czech Republic,75.17317,77.42439,79.22927,388.54404,1373.9318,1844.2178
Denmark,76.79269,79.1,81.45122,2602.6428,6011.538,6003.325
Djibouti,57.1,60.062,67.112,31.042257,56.201412,61.809433
Dominica,,,,226.96007,359.22134,440.16986
Dominican Republic,69.69,72.046,74.081,145.35367,309.95718,491.05936
Ecuador,73.078,75.089,77.01,71.11089,283.41574,486.49216
"Egypt, Arab Rep.",68.796,70.349,71.99,73.077835,113.2482,149.84032
El Salvador,69.162,71.21,73.317,182.88065,245.70859,300.05328
Equatorial Guinea,53.581,55.622,58.735,58.393887,314.40918,254.8911
Eritrea,55.864,62.193,66.321,14.513529,24.714329,25.267935
Estonia,70.25854,75.42927,78.64634,214.70415,926.45416,1598.8188
Eswatini,45.799,46.601,60.194,78.200195,358.1239,264.05515
Ethiopia,52.595,61.627,66.597,5.616925,16.70585,26.742205
Faroe Islands,78.641464,80.687805,82.79269,,,
Fiji,65.863,66.655,67.444,64.19379,135.1687,235.67502
Finland,77.96585,79.870735,81.982925,1806.0502,4249.602,4450.3027
France,79.15854,81.663414,82.82683,2192.7158,4592.3833,4491.7354
French Polynesia,72.658,75.611,77.657,,,
Gabon,57.968,61.4,66.467,125.87947,219.07191,215.01915
"Gambia, The",56.359,59.637,62.05,42.067417,43.80533,29.725803
Georgia,70.065,71.46,73.767,55.222275,271.01666,291.12204
Germany,78.32927,79.98781,81.29269,2346.615,4611.276,5440.2515
Ghana,57.158,61.03,64.074,19.633295,73.898506,75.28166
Gibraltar,,,,,,
Greece,78.3878,80.3878,81.63902,1004.8154,2564.3694,1500.595
Greenland,66.70927,70.291954,72.04756,,,
Grenada,72.805,72.867,72.397,283.47583,393.3341,534.2744
Guam,75.373,77.941,80.074,,,
Guatemala,68.304,71.481,74.302,100.39343,173.75179,271.02127
Guinea,51.255,56.861,61.602,22.106821,23.04637,43.037823
Guinea-Bissau,50.744,54.628,58.322,22.556522,38.658882,62.575577
Guyana,65.532,68.059,69.906,61.653477,162.66496,325.88516
Haiti,57.382,60.511,64.001,26.906698,54.917152,56.9944
Honduras,70.976,73.317,75.27,67.19782,166.16116,187.55434
"Hong Kong SAR, China",81.42439,82.97805,85.07805,,,
Hungary,72.24878,74.20731,76.31951,359.69748,983.11084,1062.3942
Iceland,80.69025,81.89756,83.163414,2557.2695,3589.5557,6274.9595
India,62.907,66.693,69.656,19.797678,45.129772,63.74832
Indonesia,66.037,69.205,71.716,17.240965,87.14134,120.12496
"Iran, Islamic Rep.",70.553,73.905,76.677,94.6177,445.66364,470.4346
Iraq,68.983,68.567,70.604,,150.45607,253.31464
Ireland,77.13415,80.743904,82.70244,1823.7347,5133.455,5428.589
Isle of Man,,,,,,
Israel,79.40732,81.60244,82.80488,1559.0833,2234.9497,3456.387
Italy,80.12683,82.03658,83.49756,1586.6571,3217.6829,2905.5
Jamaica,74.139,74.038,74.475,177.26375,249.08258,327.40353
Japan,81.417076,82.84268,84.35634,2479.8115,4060.491,4360.4736
Jordan,71.907,73.428,74.526,170.0458,305.2936,334.04422
Kazakhstan,65.76,68.45,73.18,51.56955,249.26892,272.96524
Kenya,51.101,60.959,66.699,21.257555,58.21166,83.41163
Kiribati,63.446,65.769,68.369,90.621925,139.49522,172.30574
"Korea, Dem. People's Rep.",66.087,69.571,72.274,,,
"Korea, Rep.",76.41219,80.11707,83.22683,508.36133,1365.9128,2624.5332
Kosovo,67.99756,69.9,73.09268,,,
Kuwait,73.21,74.358,75.489,528.6975,1033.3838,1758.6742
Kyrgyz Republic,68.70731,69.3,71.6,13.161617,61.453785,62.144775
Lao PDR,59.372,64.306,67.923,14.765901,34.994404,68.22131
Latvia,70.76098,73.482925,75.3878,205.02048,689.0772,1166.7979
Lebanon,74.999,78.36,78.93,459.4658,577.3594,663.0511
Lesotho,46.197,45.1,54.331,27.737806,97.6808,124.193634
Liberia,52.236,59.6,64.104,10.754223,45.360386,52.56287
Libya,71.038,72.044,72.913,253.90991,399.01917,
Liechtenstein,79.27561,81.84146,84.16097,,,
Lithuania,71.65854,73.268295,76.28293,218.81802,805.2245,1369.9795
Luxembourg,77.82439,80.63171,82.63902,3109.2014,7459.8354,6220.741
"Macao SAR, China",80.645,82.704,84.244,,,
Madagascar,59.129,63.388,67.041,15.910254,21.950842,19.849976
Malawi,45.204,55.564,64.263,6.190803,34.662567,30.400288
Malaysia,72.782,74.493,76.156,114.03215,290.1766,436.61203
Maldives,70.964,75.905,78.921,230.17087,600.64435,854.3706
Mali,48.758,55.251,59.306,13.906796,33.231255,34.281776
Malta,78.8439,81.39756,82.858536,685.984,1733.6688,2531.911
Marshall Islands,,,,387.95535,449.94284,664.3185
Mauritania,60.788,62.527,64.925,23.078022,42.466923,57.884846
Mauritius,71.765854,72.967316,74.235855,119.46854,367.1208,685.9456
Mexico,74.658,75.065,75.054,363.67358,531.88947,540.3723
"Micronesia, Fed. Sts.",64.71,66.471,67.883,190.07368,378.24478,415.19827
Moldova,67.185,69.616,71.901,25.39859,198.28894,284.30713
Monaco,,,,1431.1339,3509.5662,2905.8438
Mongolia,63.319,67.38,69.87,26.487616,98.844795,163.44186
Montenegro,73.187515,75.99024,76.68293,,,735.1589
Morocco,69.193,74.382,76.68,55.94983,169.00949,174.22377
Mozambique,49.295,52.31,60.854,8.612842,25.666542,39.46094
Myanmar,60.377,63.525,67.134,4.4845495,19.602367,60.015873
Namibia,51.399,56.665,63.708,185.40504,517.3282,427.25623
Nauru,,,,346.12976,628.5897,1049.447
Nepal,62.945,67.611,70.778,10.521443,29.982807,53.246403
Netherlands,78.19025,80.70244,82.1122,2175.7327,5191.728,5335.3013
New Caledonia,74.83171,77.28049,77.63415,,,
New Zealand,78.69268,80.70244,81.70731,1049.3761,3216.2236,4211.0464
Nicaragua,69.934,72.428,74.485,57.04566,115.95103,160.75879
Niger,50.584,57.333,62.42,9.885902,23.886559,31.397636
Nigeria,46.51,50.896,54.687,18.600574,76.75748,71.46573
North Macedonia,73.436584,74.99756,76.60244,152.15872,305.2323,436.88718
Northern Mariana Islands,,,,,,
Norway,78.78536,80.99756,82.958534,3099.0034,7859.516,8007.398
Oman,72.58,75.682,77.861,261.31638,529.08093,624.74445
Pakistan,63.066,65.264,67.273,13.585202,25.256002,39.499287
Palau,,,,639.4607,1183.1667,2355.6958
